hanzi,trad,simp,pinyin,toneless,tone,zhuyin
瞤,瞤,瞤,rún,run,2,ㄖㄨㄣ
府,府,府,fǔ,fu,3,ㄈㄨ
赭,赭,赭,zhě,zhe,3,ㄓㄜ
䫶,䫶,䫶,fán,fan,2,ㄈㄢ
㡶,㡶,㡶,jì,ji,4,ㄐㄧ
㧲,㧲,㧲,sǎn,san,3,ㄙㄢ
㳙,㳙,㳙,xuàn,xuan,4,ㄒㄩㄢ
蚣,蚣,蚣,gōng,gong,1,ㄍㄨㄥ
䉬,䉬,䉬,fèi,fei,4,ㄈㄟ
禳,禳,禳,ráng,rang,2,ㄖㄤ
鑉,鑉,鑉,tà,ta,4,ㄊㄚ
錹,錹,錹,kěn,ken,3,ㄎㄣ
㕖,㕖,㕖,sù,su,4,ㄙㄨ
龨,龨,龨,龨,龨,,
㟻,㟻,㟻,qiàn,qian,4,ㄑㄧㄢ
㸋,㸋,㸋,fán,fan,2,ㄈㄢ
僞,僞,伪,wěi,wei,3,ㄨㄟ
涄,涄,涄,pīn,pin,1,ㄆㄧㄣ
䜞,䜞,䜞,jì,ji,4,ㄐㄧ
堿,堿,碱,jiǎn,jian,3,ㄐㄧㄢ
㟪,㟪,㟪,wěi,wei,3,ㄨㄟ
郑,鄭,郑,zhèng,zheng,4,ㄓㄥ
㣱,㣱,㣱,zé,ze,2,ㄗㄜ
圡,圡,圡,tǔ,tu,3,ㄊㄨ
鸁,鸁,鸁,luó,luo,2,ㄌㄨㄛ
㬚,㬚,㬚,chè,che,4,ㄔㄜ
駩,駩,駩,quán,quan,2,ㄑㄩㄢ
䬍,䬍,䬍,䬍,䬍,,
讑,讑,讑,yào,yao,4,ㄧㄠ
埱,埱,埱,shú,shu,2,ㄕㄨ
噝,噝,咝,sī,si,1,ㄙ
疼,疼,疼,téng,teng,2,ㄊㄥ
娥,娥,娥,é,e,2,ㄜ
摁,摁,摁,èn,en,4,ㄣ
䋩,䋩,䋩,ér,er,2,ㄦ
茂,茂,茂,mào,mao,4,ㄇㄠ
勀,勀,勀,kè,ke,4,ㄎㄜ
阰,阰,阰,pí,pi,2,ㄆㄧ
璩,璩,璩,qú,qu,2,ㄑㄩ
䙩,䙩,䙩,méng,meng,2,ㄇㄥ
㟢,㟢,㟢,qí,qi,2,ㄑㄧ
㔍,㔍,㔍,duǒ,duo,3,ㄉㄨㄛ
鴕,鴕,鸵,tuó,tuo,2,ㄊㄨㄛ
䏳,䏳,䏳,zhè,zhe,4,ㄓㄜ
諟,諟,諟,shì,shi,4,ㄕ
梴,梴,梴,chān,chan,1,ㄔㄢ
蠵,蠵,蠵,xī,xi,1,ㄒㄧ
滄,滄,沧,cāng,cang,1,ㄘㄤ
䤼,䤼,䤼,xiàn,xian,4,ㄒㄧㄢ
觅,覓,觅,mì,mi,4,ㄇㄧ
邡,邡,邡,fāng,fang,1,ㄈㄤ
䰦,䰦,䰦,pǐ,pi,3,ㄆㄧ
䜷,䜷,䜷,䜷,䜷,,
㥊,㥊,㥊,péng,peng,2,ㄆㄥ
烲,烲,烲,chè,che,4,ㄔㄜ
㱿,㱿,㱿,què,que,4,ㄑㄩㄝ
㳲,㳲,㳲,㳲,㳲,,
嵓,嵓,嵓,yán,yan,2,ㄧㄢ
㾬,㾬,㾬,㾬,㾬,,
兇,兇,兇,xiōng,xiong,1,ㄒㄩㄥ
橛,橛,橛,jué,jue,2,ㄐㄩㄝ
祘,祘,祘,suàn,suan,4,ㄙㄨㄢ
注,注,注,zhù,zhu,4,ㄓㄨ
鋴,鋴,鋴,鋴,鋴,,
婬,婬,婬,yín,yin,2,ㄧㄣ
嵺,嵺,嵺,liáo,liao,2,ㄌㄧㄠ
謼,謼,謼,hù,hu,4,ㄏㄨ
濍,濍,濍,sōng,song,1,ㄙㄨㄥ
堹,堹,堹,zhòng,zhong,4,ㄓㄨㄥ
轭,軛,轭,è,e,4,ㄜ
鱷,鱷,鳄,è,e,4,ㄜ
䠮,䠮,䠮,téng,teng,2,ㄊㄥ
孁,孁,孁,líng,ling,2,ㄌㄧㄥ
侤,侤,侤,侤,侤,,
㛏,㛏,㛏,òu,ou,4,ㄡ
䛵,䛵,䛵,shòu,shou,4,ㄕㄡ
儿,兒,儿,ér,er,2,ㄦ
谞,諝,谞,xǔ,xu,3,ㄒㄩ
勽,勽,勽,bào,bao,4,ㄅㄠ
山,山,山,shān,shan,1,ㄕㄢ
怑,怑,怑,bàn,ban,4,ㄅㄢ
溣,溣,溣,lún,lun,2,ㄌㄨㄣ
県,県,県,xiàn,xian,4,ㄒㄧㄢ
祊,祊,祊,bēng,beng,1,ㄅㄥ
䣾,䣾,䣾,mì,mi,4,ㄇㄧ
馡,馡,馡,fēi,fei,1,ㄈㄟ
鹨,鷚,鹨,liáo,liao,2,ㄌㄧㄠ
呇,呇,呇,qǐ,qi,3,ㄑㄧ
濨,濨,濨,cí,ci,2,ㄘ
愪,愪,愪,yún,yun,2,ㄩㄣ
㰯,㰯,㰯,kòu,kou,4,ㄎㄡ
脻,脻,脻,jié,jie,2,ㄐㄧㄝ
僐,僐,僐,shàn,shan,4,ㄕㄢ
酫,酫,酫,chuò,chuo,4,ㄔㄨㄛ
㲃,㲃,㲃,jìu,jiu,4,ㄐㄧㄡ
懽,懽,懽,huān,huan,1,ㄏㄨㄢ
蛹,蛹,蛹,yǒng,yong,3,ㄩㄥ
㖥,㖥,㖥,jiǒng,jiong,3,ㄐㄩㄥ
埨,埨,埨,lǔn,lun,3,ㄌㄨㄣ
䘛,䘛,䘛,䘛,䘛,,
䔳,䔳,䔳,nǎn,nan,3,ㄋㄢ
䢕,䢕,䢕,xù,xu,4,ㄒㄩ
恈,恈,恈,mú,mu,2,ㄇㄨ
鷰,鷰,鷰,yàn,yan,4,ㄧㄢ
玷,玷,玷,diàn,dian,4,ㄉㄧㄢ
账,賬,账,zhàng,zhang,4,ㄓㄤ
壷,壷,壷,hú,hu,2,ㄏㄨ
頁,頁,页,yè,ye,4,ㄧㄝ
觗,觗,觗,zhì,zhi,4,ㄓ
萿,萿,萿,huó,huo,2,ㄏㄨㄛ
服,服,服,fú,fu,2,ㄈㄨ
䠛,䠛,䠛,jiǎo,jiao,3,ㄐㄧㄠ
暬,暬,暬,xiè,xie,4,ㄒㄧㄝ
棰,棰,棰,chúi,chui,2,ㄔㄨㄟ
俍,俍,俍,láng,lang,2,ㄌㄤ
踑,踑,踑,qí,qi,2,ㄑㄧ
蠹,蠹,蠹,dù,du,4,ㄉㄨ
燖,燖,燖,xún,xun,2,ㄒㄩㄣ
傼,傼,傼,hàn,han,4,ㄏㄢ
痙,痙,痉,jìng,jing,4,ㄐㄧㄥ
銧,銧,銧,guāng,guang,1,ㄍㄨㄤ
愃,愃,愃,xuān,xuan,1,ㄒㄩㄢ
唋,唋,唋,tǔ,tu,3,ㄊㄨ
靴,靴,靴,xuē,xue,1,ㄒㄩㄝ
諫,諫,谏,jiàn,jian,4,ㄐㄧㄢ
牁,牁,牁,gē,ge,1,ㄍㄜ
䃜,䃜,䃜,䃜,䃜,,
抁,抁,抁,yǎn,yan,3,ㄧㄢ
尾,尾,尾,wěi,wei,3,ㄨㄟ
榱,榱,榱,cūi,cui,1,ㄘㄨㄟ
蘮,蘮,蘮,jì,ji,4,ㄐㄧ
紃,紃,紃,xún,xun,2,ㄒㄩㄣ
